Name,RollNo,Branch
Pooja Joshi,IT20477,Information Technology
Rishabh Kohli,CE23292,Civil Engineering
Raj Bose,CE19546,Civil Engineering
Isha Gupta,M19711,Mathematics
Madhav Chopra,CE24535,Civil Engineering
Naveen Patil,E20831,Electronics
Jatin Kohli,CS21990,Computer Science
Priya Rao,ME24350,Mechanical Engineering
Manish Bajaj,M23694,Mathematics
Prakash Kapoor,ME21791,Mechanical Engineering
Akash Iyer,EE18525,Electrical Engineering
Gaurav Nair,E22888,Electronics
Aman Pandey,CE23967,Chemical Engineering
Samarth Singh,CS20669,Computer Science
Devika Khanna,CE24461,Civil Engineering
Dhruv Tiwari,CE22916,Civil Engineering
Sonia Reddy,ME19464,Mechanical Engineering
Archana Agarwal,EE22070,Electrical Engineering
Aditi Chakraborty,CE21055,Civil Engineering
Archana Bajaj,E21151,Electronics
Archana Deshpande,ME19763,Mechanical Engineering
Rashi Desai,CE22295,Civil Engineering
Isha Kumar,AE20238,Aerospace Engineering
Shubham Mehta,M18343,Mathematics
Aman Sethi,CE20777,Civil Engineering
Deepak Bhat,B23937,Biotechnology
Prakash Kohli,AE22215,Aerospace Engineering
Varun Bansal,E21404,Electronics
Devika Verma,ME20032,Mechanical Engineering
Ishaan Chakraborty,CE21425,Chemical Engineering
Rishabh Garg,ME22484,Mechanical Engineering
Payal Bose,IT22001,Information Technology
Sonia Chatterjee,CE21670,Civil Engineering
Harish Malhotra,CE22843,Chemical Engineering
Gaurav Goyal,E22987,Electronics
Sandeep Sharma,AE18443,Aerospace Engineering
Radhika Garg,EE18637,Electrical Engineering
Suresh Agarwal,CE18602,Chemical Engineering
Payal Sethi,B20115,Biotechnology
Kavya Shah,ME21731,Mechanical Engineering
Rishabh Gupta,B22286,Biotechnology
Rajat Saxena,IT19904,Information Technology
Manish Verma,CE21157,Civil Engineering
Kavya Bansal,E19101,Electronics
Pankaj Deshpande,CE18608,Chemical Engineering
Nisha Kohli,ME23126,Mechanical Engineering
Sakshi Pillai,CS24442,Computer Science
Vishal Khanna,EE19200,Electrical Engineering
Akash Bajaj,ME18420,Mechanical Engineering
Kunal Desai,CE20129,Civil Engineering
Sagar Sethi,CE23113,Chemical Engineering
Samarth Kohli,M19059,Mathematics
Simran Sharma,M18886,Mathematics
Ritika Bhat,CE20678,Chemical Engineering
Naveen Bajaj,E23834,Electronics
Aditi Mahajan,CS21392,Computer Science
Neha Kaur,CE18828,Chemical Engineering
Sanya Tiwari,B20214,Biotechnology
Kavya Mahajan,E24026,Electronics
Jatin Khanna,M23148,Mathematics
Vijay Patil,EE21970,Electrical Engineering
Sonam Sarin,M21576,Mathematics
Sonia Kapoor,CS20312,Computer Science
Prakash Pillai,CS19273,Computer Science
Ananya Mehta,CS22502,Computer Science
Sanya Bansal,EE19032,Electrical Engineering
Tushar Agarwal,CE22811,Chemical Engineering
Sagar Das,B20353,Biotechnology
Shreya Reddy,E19379,Electronics
Madhav Chatterjee,AE24147,Aerospace Engineering
Aman Gupta,CE23874,Civil Engineering
Gaurav Pandey,CE22234,Civil Engineering
Shivam Desai,AE23384,Aerospace Engineering
Kavita Mahajan,ME24106,Mechanical Engineering
Rajat Tiwari,IT22265,Information Technology
Yash Malhotra,CE18780,Chemical Engineering
Kunal Agarwal,B20352,Biotechnology
Shivam Pandey,B18523,Biotechnology
Akash Kohli,CE24664,Chemical Engineering
Sanya Naidu,CS21145,Computer Science
Nisha Tiwari,B23969,Biotechnology
Ujjwal Reddy,CE23428,Chemical Engineering
Pankaj Patil,CE20100,Civil Engineering
Radhika Malhotra,CE24717,Civil Engineering
Deepak Kapoor,AE19897,Aerospace Engineering
Archana Bansal,CE22721,Chemical Engineering
Sakshi Ghosh,M21662,Mathematics
Nikhil Chopra,CE22380,Civil Engineering
Aryan Pillai,EE24550,Electrical Engineering
Ishaan Malhotra,ME21569,Mechanical Engineering
Payal Kohli,CE19788,Civil Engineering
Shivam Mishra,CE23361,Civil Engineering
Ayush Patil,CS18804,Computer Science
Isha Chopra,E24273,Electronics
Manish Desai,CS19966,Computer Science
Arjun Banerjee,E18761,Electronics
Radhika Menon,B21278,Biotechnology
Aditya Mehta,M21877,Mathematics
Garima Goyal,CS19147,Computer Science
Tanvi Sethi,B19445,Biotechnology
Arjun Pillai,M18951,Mathematics
Kavita Bajaj,AE18254,Aerospace Engineering
Shreya Desai,M18516,Mathematics
Kunal Bansal,AE24025,Aerospace Engineering
Ankit Patil,EE18064,Electrical Engineering
Isha Patil,CE23599,Chemical Engineering
Sonam Bose,AE22703,Aerospace Engineering
Sonia Trivedi,EE19277,Electrical Engineering
Harsh Khanna,CE18457,Chemical Engineering
Isha Chakraborty,E18849,Electronics
Harsh Das,AE22670,Aerospace Engineering
Deepak Shah,B19934,Biotechnology
Varun Iyer,EE18676,Electrical Engineering
Garima Iyer,CS20299,Computer Science
Tanvi Trivedi,IT20544,Information Technology
Vishal Trivedi,CE20378,Civil Engineering
Pooja Patel,CS24230,Computer Science
Sagar Kumar,M20838,Mathematics
Aman Shah,E21016,Electronics
Rohan Dutta,CE24951,Chemical Engineering
Kavya Gupta,E21689,Electronics
Pooja Reddy,IT22506,Information Technology
Simran Kaur,B20999,Biotechnology
Madhav Saxena,ME20372,Mechanical Engineering
Anjali Nair,M23931,Mathematics
Ankit Bhat,ME20286,Mechanical Engineering
Sagar Bose,AE18092,Aerospace Engineering
Sanya Goyal,CE18894,Civil Engineering
Shivam Naidu,E24311,Electronics
Tanvi Naidu,CE19357,Chemical Engineering
Deepak Das,E22762,Electronics
Mihir Sarin,ME23173,Mechanical Engineering
Samarth Verma,EE24315,Electrical Engineering
Sneha Mishra,CE24354,Civil Engineering
Ritu Desai,E23186,Electronics
Kavya Mishra,AE19820,Aerospace Engineering
Vikram Kaur,CE24484,Civil Engineering
Priya Agarwal,IT19952,Information Technology
Archana Chakraborty,IT21021,Information Technology
Mihir Kaur,CS20770,Computer Science
Vijay Deshpande,M18899,Mathematics
Rohan Choudhury,CS22262,Computer Science
Pooja Kaur,CE19257,Chemical Engineering
Kavya Patel,E20722,Electronics
Sneha Kaur,CS22235,Computer Science
Shreya Dutta,AE19496,Aerospace Engineering
Divya Chatterjee,M21869,Mathematics
Sagar Bajaj,E22527,Electronics
Vijay Gupta,CE20721,Civil Engineering
Kavita Shah,IT19515,Information Technology
Arjun Kapoor,CS24731,Computer Science
Anupam Singh,AE20440,Aerospace Engineering
Mallika Agarwal,E23115,Electronics
Ritu Tiwari,M23849,Mathematics
Divya Bansal,M24483,Mathematics
Sanya Shah,EE21752,Electrical Engineering
Nisha Bose,AE18224,Aerospace Engineering
Deepak Deshpande,IT24862,Information Technology
Rashi Kapoor,E21937,Electronics
Ashish Chatterjee,CE24871,Civil Engineering
Aditi Patil,EE18332,Electrical Engineering
Ananya Banerjee,CE18311,Civil Engineering
Sahil Sarin,CE22788,Civil Engineering
Priya Nair,M20267,Mathematics
Rohan Sarin,ME24387,Mechanical Engineering
Sanya Kohli,CE20060,Chemical Engineering
Kavya Menon,CE21654,Chemical Engineering
Meera Gupta,EE19073,Electrical Engineering
Sandeep Banerjee,CE20070,Civil Engineering
Shubham Iyer,B23565,Biotechnology
Sonam Dutta,EE24274,Electrical Engineering
Sandeep Naidu,M23252,Mathematics
Ujjwal Chakraborty,M23973,Mathematics
Sonia Gupta,IT23402,Information Technology
Prakash Patil,EE21877,Electrical Engineering
Anupam Pandey,M24456,Mathematics
Pooja Dutta,CE19112,Chemical Engineering
Jatin Goyal,ME19808,Mechanical Engineering
Kavita Menon,CE23829,Chemical Engineering
Rishabh Patel,B22607,Biotechnology
Radhika Reddy,CE21606,Chemical Engineering
Sandeep Mahajan,AE24993,Aerospace Engineering
Aditi Kaur,AE22794,Aerospace Engineering
Priya Sharma,EE19321,Electrical Engineering
Bhavya Reddy,M23753,Mathematics
Bhavya Kohli,AE19613,Aerospace Engineering
Kunal Reddy,CE24983,Civil Engineering
Ishaan Mehta,CE24571,Chemical Engineering
Suresh Das,CE20297,Civil Engineering
Sneha Naidu,AE22808,Aerospace Engineering
Anjali Nair,CE22674,Chemical Engineering
Pankaj Das,EE22258,Electrical Engineering
Devika Trivedi,M21419,Mathematics
Ritika Pillai,EE19047,Electrical Engineering
Ritu Ghosh,CS20794,Computer Science
Dhruv Singh,AE24611,Aerospace Engineering
Dhruv Naidu,ME22707,Mechanical Engineering
Nikhil Dutta,CE21917,Civil Engineering
Nisha Chopra,CS19173,Computer Science
Ankit Chopra,ME23277,Mechanical Engineering
Vishal Banerjee,IT20109,Information Technology
Shubham Chakraborty,CE22025,Chemical Engineering
Pankaj Kumar,AE22783,Aerospace Engineering
Aditi Ghosh,AE23456,Aerospace Engineering
Sandeep Banerjee,E21373,Electronics
Devika Chopra,E24048,Electronics
Sanya Malhotra,B19463,Biotechnology
Divya Bhat,CE23433,Chemical Engineering
Ayush Joshi,AE23442,Aerospace Engineering
Divya Deshpande,AE21968,Aerospace Engineering
Shalini Nair,CS23752,Computer Science
Vishal Kaur,ME22125,Mechanical Engineering
Karan Naidu,ME20884,Mechanical Engineering
Mihir Bhat,EE20401,Electrical Engineering
Karan Shah,AE19227,Aerospace Engineering
Ritika Kohli,EE19880,Electrical Engineering
Devika Khanna,B18553,Biotechnology
Nisha Joshi,AE24830,Aerospace Engineering
Ananya Sharma,CE21163,Civil Engineering
Aditi Joshi,M24685,Mathematics
Anupam Kapoor,CS18890,Computer Science
Ayush Iyer,CS21376,Computer Science
Divya Menon,ME20528,Mechanical Engineering
Divya Singh,CS18417,Computer Science
Aman Rao,B24852,Biotechnology
Sanya Yadav,EE21852,Electrical Engineering
Aman Chawla,CE22171,Chemical Engineering
Karan Sarin,CE21926,Chemical Engineering
Shalini Tiwari,AE22163,Aerospace Engineering
Varun Patil,IT20126,Information Technology
Suresh Naidu,EE18986,Electrical Engineering
Payal Malhotra,IT20210,Information Technology
Ishaan Shah,CE18920,Chemical Engineering
Meera Kaur,ME21886,Mechanical Engineering
Vani Gupta,B19413,Biotechnology
Tanvi Mahajan,B22228,Biotechnology
Manish Patel,B20932,Biotechnology
Shreya Pandey,EE22676,Electrical Engineering
Pankaj Das,E24242,Electronics
Rohan Nair,IT22260,Information Technology
Isha Malhotra,IT19050,Information Technology
Sonia Bose,M22732,Mathematics
Manish Goyal,ME24900,Mechanical Engineering
Kavita Sethi,EE20430,Electrical Engineering
Rohan Yadav,B21123,Biotechnology
Varun Trivedi,E18832,Electronics
Radhika Joshi,ME24208,Mechanical Engineering
Archana Sethi,ME24482,Mechanical Engineering
Rahul Das,IT22660,Information Technology
Jatin Deshpande,ME22215,Mechanical Engineering
Kavya Shah,CE20392,Civil Engineering
Madhav Rao,ME18390,Mechanical Engineering
Shivam Wadhwa,ME23922,Mechanical Engineering
Akash Singh,E22393,Electronics
Aditya Chatterjee,M20783,Mathematics
Ishaan Das,B20811,Biotechnology
Rajat Das,CE18820,Chemical Engineering
Ankit Sethi,EE22279,Electrical Engineering
Nikhil Rao,CE20655,Chemical Engineering
Pooja Gupta,CS23570,Computer Science
Arjun Menon,AE18939,Aerospace Engineering
Rajat Wadhwa,B22629,Biotechnology
Samarth Das,CE20990,Civil Engineering
Radhika Gupta,IT24989,Information Technology
Jatin Choudhury,EE20894,Electrical Engineering
Ujjwal Chatterjee,EE23258,Electrical Engineering
Tushar Kohli,AE20780,Aerospace Engineering
Rahul Chopra,CS18912,Computer Science
Shalini Deshpande,E18634,Electronics
Sanya Naidu,B23851,Biotechnology
Pooja Ghosh,AE20328,Aerospace Engineering
Divya Sethi,CS23123,Computer Science
Neha Mishra,E21841,Electronics
Rishabh Patel,E22758,Electronics
Harsh Kapoor,CS18745,Computer Science
Amit Kohli,IT23577,Information Technology
Gaurav Agarwal,AE18952,Aerospace Engineering
Ankit Pillai,EE23044,Electrical Engineering
Naveen Patel,CE24911,Chemical Engineering
Anjali Mehta,ME23543,Mechanical Engineering
Mihir Singh,ME23713,Mechanical Engineering
Harish Mahajan,M24796,Mathematics
Sneha Rao,EE20081,Electrical Engineering
Anupam Ghosh,CE21005,Chemical Engineering
Tushar Yadav,M19252,Mathematics
Nikhil Bose,IT20996,Information Technology
Shubham Deshpande,ME21071,Mechanical Engineering
Aditya Gupta,B19935,Biotechnology
Anupam Naidu,IT20737,Information Technology
Gaurav Das,CE22159,Chemical Engineering
Garima Wadhwa,CE18468,Civil Engineering
Aryan Goyal,E19009,Electronics
Nikhil Patel,EE18863,Electrical Engineering
Anjali Shah,B18971,Biotechnology
Varun Yadav,EE18937,Electrical Engineering
Payal Trivedi,B18616,Biotechnology
Rohan Reddy,EE18101,Electrical Engineering
Meera Kapoor,M20501,Mathematics
Devika Patel,CS24654,Computer Science
Mallika Kumar,B23923,Biotechnology
Archana Chopra,EE22370,Electrical Engineering
Harsh Deshpande,CE19945,Chemical Engineering
Shreya Singh,ME23115,Mechanical Engineering
Sagar Das,IT18539,Information Technology
Tushar Shah,CE22457,Civil Engineering
Shivam Verma,AE22399,Aerospace Engineering
Sonam Choudhury,CE19281,Civil Engineering
Tanvi Garg,AE18550,Aerospace Engineering
Aman Bhat,M20589,Mathematics
Aryan Bansal,ME18325,Mechanical Engineering
Meera Pillai,B20884,Biotechnology
Jatin Nair,CE24357,Civil Engineering
Pooja Nair,AE21971,Aerospace Engineering
Suresh Sharma,CS21368,Computer Science
Deepak Ghosh,B19748,Biotechnology
Sneha Saxena,CE19822,Civil Engineering
Akash Wadhwa,E21158,Electronics
Rajat Mahajan,CS19737,Computer Science
Amit Tiwari,IT20373,Information Technology
Tushar Naidu,CE19225,Chemical Engineering
Harish Sarin,ME22619,Mechanical Engineering
Garima Patel,ME19581,Mechanical Engineering
Neha Pillai,ME21328,Mechanical Engineering
Aditi Wadhwa,AE23258,Aerospace Engineering
Sonia Das,B19781,Biotechnology
Tushar Desai,IT22835,Information Technology
Yash Sethi,EE18630,Electrical Engineering
Sanya Chakraborty,M19893,Mathematics
Naveen Singh,EE23787,Electrical Engineering
Gaurav Nair,E18574,Electronics
Pooja Sarin,AE20769,Aerospace Engineering
Ashish Bhat,ME20590,Mechanical Engineering
Rohan Nair,IT19104,Information Technology
Isha Dutta,CS19628,Computer Science
Jatin Nair,CE24601,Chemical Engineering
Rajat Ghosh,CE18086,Chemical Engineering
Neha Mehta,CS19110,Computer Science
Isha Desai,CE22807,Chemical Engineering
Ritika Kapoor,EE22280,Electrical Engineering
Ayush Bose,CE22072,Civil Engineering
Arjun Dutta,ME19802,Mechanical Engineering
Shubham Sharma,ME24676,Mechanical Engineering
Kunal Goyal,M23204,Mathematics
Priya Saxena,B21729,Biotechnology
Aman Wadhwa,E23353,Electronics
Ritu Rao,CE18909,Civil Engineering
Anupam Desai,EE18973,Electrical Engineering
Aditya Patel,B23583,Biotechnology
Akash Verma,B23231,Biotechnology
Samarth Sethi,B21570,Biotechnology
Pankaj Dutta,CE20088,Chemical Engineering
Vikram Gupta,CE21334,Civil Engineering
Amit Dutta,CE18651,Civil Engineering
Rishabh Yadav,M18502,Mathematics
Anupam Mishra,EE20579,Electrical Engineering
Shalini Tiwari,M24740,Mathematics
Shubham Banerjee,E21834,Electronics
Payal Sethi,CE18039,Chemical Engineering
Rishabh Bose,AE19032,Aerospace Engineering
Tushar Joshi,B20411,Biotechnology
Sonam Yadav,IT19171,Information Technology
Sneha Singh,AE23394,Aerospace Engineering
Bhavya Deshpande,M22428,Mathematics
Nikhil Mishra,ME19491,Mechanical Engineering
Ritu Saxena,CE20078,Civil Engineering
Radhika Verma,B21639,Biotechnology
Radhika Ghosh,M19453,Mathematics
Simran Verma,ME19354,Mechanical Engineering
Rahul Ghosh,ME21838,Mechanical Engineering
Shreya Desai,CE24109,Chemical Engineering
Mihir Sharma,M20549,Mathematics
Shalini Tiwari,B20252,Biotechnology
Devika Singh,CE21779,Civil Engineering
Ananya Patel,CE21268,Chemical Engineering
Mallika Iyer,IT24150,Information Technology
Ananya Yadav,E21698,Electronics
Rahul Kaur,CS23716,Computer Science
Rahul Chawla,IT24485,Information Technology
Radhika Bose,CE22117,Chemical Engineering
Aryan Iyer,ME24348,Mechanical Engineering
Tanvi Patel,E23516,Electronics
Sonia Khanna,E23375,Electronics
Meera Pillai,CE22461,Civil Engineering
Ritika Pandey,AE22403,Aerospace Engineering
Aryan Khanna,CE19659,Civil Engineering
Prakash Sethi,M18306,Mathematics
Harish Chatterjee,B24257,Biotechnology
Akash Choudhury,AE18742,Aerospace Engineering
Nikhil Kumar,B24437,Biotechnology
Nikhil Sethi,CE21019,Chemical Engineering
Samarth Gupta,E23775,Electronics
Sonia Bose,M21079,Mathematics
Gaurav Choudhury,CE19114,Civil Engineering
Priya Chatterjee,B20188,Biotechnology
Deepak Trivedi,ME23997,Mechanical Engineering
Kavita Pandey,AE22591,Aerospace Engineering
Sneha Sharma,CE24594,Chemical Engineering
Sanya Sarin,EE19796,Electrical Engineering
Ujjwal Desai,CE22545,Civil Engineering
Raj Ghosh,IT24320,Information Technology
Jatin Mehta,IT22893,Information Technology
Tanvi Agarwal,CS23754,Computer Science
Harish Verma,M24424,Mathematics
Kavita Goyal,M20905,Mathematics
Rashi Sarin,CE24190,Chemical Engineering
Rahul Kumar,EE23957,Electrical Engineering
Nisha Nair,CE23203,Chemical Engineering
Rahul Patil,ME21196,Mechanical Engineering
Gaurav Shah,E21833,Electronics
Rishabh Iyer,CE18161,Civil Engineering
Mihir Deshpande,CE22656,Civil Engineering
Sandeep Sharma,IT22182,Information Technology
Pooja Reddy,CE18675,Civil Engineering
Kavita Trivedi,CS20216,Computer Science
Aryan Iyer,CS18111,Computer Science
Shalini Kaur,CS22293,Computer Science
Mallika Malhotra,EE24939,Electrical Engineering
Devika Dutta,IT20104,Information Technology
Samarth Ghosh,AE19742,Aerospace Engineering
Ayush Desai,IT20837,Information Technology
Prakash Kaur,E22052,Electronics
Radhika Desai,B20541,Biotechnology
Rishabh Bose,E22883,Electronics
Tanvi Wadhwa,E24196,Electronics
Shubham Patil,CS20123,Computer Science
Madhav Joshi,EE23357,Electrical Engineering
Kavita Malhotra,ME23625,Mechanical Engineering
Rashi Bhat,EE20357,Electrical Engineering
Vishal Bhat,B24377,Biotechnology
Garima Iyer,CE20087,Chemical Engineering
Harish Trivedi,AE20173,Aerospace Engineering
Ritika Desai,IT19627,Information Technology
Rajat Ghosh,M20448,Mathematics
Deepak Desai,CS24047,Computer Science
Vikram Shah,CS20217,Computer Science
Payal Gupta,CS24195,Computer Science
Ritika Gupta,IT24162,Information Technology
Sneha Sharma,CE20377,Chemical Engineering
Tushar Choudhury,CE21929,Chemical Engineering
Madhav Patil,EE23868,Electrical Engineering
Archana Bose,CE22756,Civil Engineering
Varun Saxena,EE24685,Electrical Engineering
Ujjwal Trivedi,IT22075,Information Technology
Kavya Menon,B22232,Biotechnology
Nisha Trivedi,ME23481,Mechanical Engineering
Sanya Bhat,M21939,Mathematics
Samarth Mahajan,IT20393,Information Technology
Ashish Shah,IT22698,Information Technology
Harsh Desai,CS18159,Computer Science
Ritu Malhotra,CS20298,Computer Science
Neha Wadhwa,E23786,Electronics
Rajat Rao,M21928,Mathematics
Gaurav Gupta,IT22490,Information Technology
Aditi Chakraborty,AE22952,Aerospace Engineering
Divya Malhotra,CE23234,Civil Engineering
Radhika Chakraborty,IT24835,Information Technology
Simran Deshpande,IT23362,Information Technology
Harish Sethi,B23460,Biotechnology
Ujjwal Sharma,CS18292,Computer Science
Rohan Shah,E20678,Electronics
Aditya Chawla,CE20839,Chemical Engineering
Akash Mishra,AE20824,Aerospace Engineering
Ayush Rao,IT22450,Information Technology
Gaurav Patil,IT22767,Information Technology
Mihir Pillai,AE18176,Aerospace Engineering
Sandeep Menon,CE18253,Chemical Engineering
Aditi Gupta,IT20425,Information Technology
Aditya Yadav,E22165,Electronics
Suresh Rao,CE18375,Civil Engineering
Garima Rao,CE20400,Chemical Engineering
Nikhil Chopra,CS24812,Computer Science
Ritika Dutta,CS19782,Computer Science
Anjali Shah,CE22494,Chemical Engineering
Vani Bose,AE22891,Aerospace Engineering
Harish Dutta,CS22852,Computer Science
Naveen Kohli,AE19931,Aerospace Engineering
Devika Kohli,CE19780,Chemical Engineering
Suresh Das,ME21259,Mechanical Engineering
Divya Gupta,AE23220,Aerospace Engineering
Sahil Yadav,E19754,Electronics
Sneha Chawla,CS18036,Computer Science
Sanya Verma,CE21427,Civil Engineering
Neha Malhotra,CS19229,Computer Science
Manish Chakraborty,CE24200,Chemical Engineering
Tanvi Kaur,IT23862,Information Technology
Kavya Chawla,CE22426,Civil Engineering
Suresh Shah,B19709,Biotechnology
Rohan Bajaj,IT18161,Information Technology
Sonam Saxena,EE24084,Electrical Engineering
Ashish Bhat,EE18579,Electrical Engineering
Kavita Kohli,B19488,Biotechnology
Vani Bajaj,ME20736,Mechanical Engineering
Shubham Sethi,M18615,Mathematics
Divya Pandey,AE21713,Aerospace Engineering
Nisha Patil,CS20383,Computer Science
Vijay Bhat,CS18482,Computer Science
Rohan Nair,E24528,Electronics
Shreya Yadav,AE23996,Aerospace Engineering
Jatin Yadav,CE19396,Chemical Engineering
Bhavya Sharma,M20523,Mathematics
Tanvi Menon,B20183,Biotechnology
Ashish Das,CS18269,Computer Science
Rajat Mahajan,IT19680,Information Technology
Karan Deshpande,CE24722,Chemical Engineering
Pankaj Iyer,M24165,Mathematics
Aryan Chakraborty,IT21540,Information Technology
Rashi Chatterjee,B20281,Biotechnology
Simran Nair,AE21543,Aerospace Engineering
Archana Kumar,M20325,Mathematics
Simran Ghosh,IT23683,Information Technology
Deepak Chakraborty,E18168,Electronics
Harsh Iyer,EE22341,Electrical Engineering
Mihir Chatterjee,IT20073,Information Technology
Devika Mishra,AE21404,Aerospace Engineering
Ayush Kaur,CE19303,Civil Engineering
Mihir Verma,CE19128,Chemical Engineering
Ritika Garg,M24025,Mathematics
Samarth Joshi,M18941,Mathematics
Shreya Bansal,CE18711,Chemical Engineering
Anupam Sethi,M20884,Mathematics
Gaurav Yadav,ME22015,Mechanical Engineering
Sanya Trivedi,EE24957,Electrical Engineering
Ankit Chawla,CE21234,Chemical Engineering
Manish Dutta,B23846,Biotechnology
Rishabh Menon,CS21785,Computer Science
Deepak Naidu,ME20514,Mechanical Engineering
Kunal Kohli,E22921,Electronics
Madhav Chopra,ME19777,Mechanical Engineering
Ritu Sharma,B20280,Biotechnology
Ishaan Mahajan,CS24753,Computer Science
Sakshi Kumar,AE18244,Aerospace Engineering
Sneha Mahajan,CS22165,Computer Science
Simran Patel,ME24812,Mechanical Engineering
Vijay Nair,M23590,Mathematics
Sakshi Bansal,CS23824,Computer Science
Sonia Malhotra,EE24060,Electrical Engineering
Pooja Mishra,E21305,Electronics
Vani Patil,EE23203,Electrical Engineering
Vijay Trivedi,CE24964,Chemical Engineering
Nisha Nair,CE22108,Civil Engineering
Mallika Singh,CS22655,Computer Science
Archana Pandey,E24840,Electronics
Kavya Kohli,M21411,Mathematics
Arjun Gupta,CE19245,Civil Engineering
Sakshi Singh,EE20130,Electrical Engineering
Rishabh Naidu,IT18111,Information Technology
Harsh Chakraborty,CS24450,Computer Science
Garima Sarin,AE23966,Aerospace Engineering
Manish Garg,CE21720,Civil Engineering
Aditi Chatterjee,ME23843,Mechanical Engineering
Simran Saxena,EE24898,Electrical Engineering
Tushar Pillai,ME23835,Mechanical Engineering
Tushar Mehta,IT20618,Information Technology
Karan Kaur,CS23348,Computer Science
Anjali Kohli,CS18302,Computer Science
Shreya Yadav,IT18126,Information Technology
Aditya Reddy,EE23627,Electrical Engineering
Aditya Pillai,AE21645,Aerospace Engineering
Rishabh Wadhwa,CS22046,Computer Science
Payal Kumar,EE18344,Electrical Engineering
Ankit Chatterjee,IT21260,Information Technology
Kavya Banerjee,M24679,Mathematics
Simran Nair,CE20813,Civil Engineering
Rohan Deshpande,IT18971,Information Technology
Rahul Agarwal,AE22896,Aerospace Engineering
Dhruv Iyer,CE22080,Chemical Engineering
Nisha Agarwal,EE20921,Electrical Engineering
Anupam Saxena,AE24520,Aerospace Engineering
Neha Naidu,CS20100,Computer Science
Raj Chawla,EE24886,Electrical Engineering
Sanya Verma,CE21094,Civil Engineering
Ankit Joshi,E22273,Electronics
Simran Sethi,AE24276,Aerospace Engineering
Nisha Chopra,IT22292,Information Technology
Aditya Reddy,M23158,Mathematics
Sanya Sethi,EE21762,Electrical Engineering
Amit Goyal,CS20880,Computer Science
Yash Kapoor,CS21635,Computer Science
Sanya Wadhwa,E23383,Electronics
Ritika Mahajan,E22119,Electronics
Vishal Sharma,ME23616,Mechanical Engineering
Ritika Goyal,CS23736,Computer Science
Ayush Reddy,ME24471,Mechanical Engineering
Nikhil Chopra,CS22045,Computer Science
Ayush Kaur,AE18006,Aerospace Engineering
Neha Saxena,CE18371,Chemical Engineering
Ritika Pillai,IT19273,Information Technology
Pankaj Agarwal,ME18153,Mechanical Engineering
Pankaj Chopra,CS19492,Computer Science
Vani Sharma,B18400,Biotechnology
Rajat Patil,ME23017,Mechanical Engineering
Dhruv Ghosh,E19654,Electronics
Sonia Iyer,E24675,Electronics
Deepak Iyer,IT18216,Information Technology
Archana Saxena,CE23898,Chemical Engineering
Vani Bhat,AE22606,Aerospace Engineering
Jatin Pillai,CE22499,Civil Engineering
Aditya Gupta,EE24301,Electrical Engineering
Anjali Kohli,B23856,Biotechnology
Yash Kohli,M22916,Mathematics
Deepak Singh,B18521,Biotechnology
Sonia Mehta,IT20015,Information Technology
Sneha Dutta,CE19703,Civil Engineering
Ritika Rao,ME19201,Mechanical Engineering
Sahil Choudhury,IT22188,Information Technology
Vishal Pillai,CE19026,Chemical Engineering
Isha Deshpande,EE18346,Electrical Engineering
Madhav Dutta,EE18488,Electrical Engineering
Rishabh Pandey,CE21729,Chemical Engineering
Rajat Yadav,M19390,Mathematics
Simran Shah,M18612,Mathematics
Ananya Malhotra,ME21742,Mechanical Engineering
Anjali Choudhury,AE20630,Aerospace Engineering
Deepak Reddy,CE20570,Civil Engineering
Anjali Bajaj,IT22015,Information Technology
Nikhil Mahajan,AE22421,Aerospace Engineering
Samarth Kapoor,CS23278,Computer Science
Aman Kumar,IT24594,Information Technology
Yash Kaur,CE20649,Civil Engineering
Shreya Agarwal,CE21343,Chemical Engineering
Aryan Singh,CS20805,Computer Science
Meera Choudhury,EE18360,Electrical Engineering
Vani Gupta,M19843,Mathematics
Shreya Rao,EE23181,Electrical Engineering
Mihir Malhotra,B22301,Biotechnology
Akash Menon,E21747,Electronics
Aditya Kumar,E21952,Electronics
Aditi Dutta,AE21858,Aerospace Engineering
Rahul Saxena,CE21324,Chemical Engineering
Payal Bansal,AE21547,Aerospace Engineering
Aman Saxena,B18561,Biotechnology
Jatin Singh,B20157,Biotechnology
Karan Tiwari,B23069,Biotechnology
Pankaj Bhat,CE19193,Civil Engineering
Sahil Desai,E22789,Electronics
Akash Desai,CE22450,Chemical Engineering
Neha Sarin,ME22896,Mechanical Engineering
Rahul Shah,CE21844,Civil Engineering
Prakash Trivedi,CE18957,Civil Engineering
Sneha Desai,ME20200,Mechanical Engineering
Deepak Goyal,EE24017,Electrical Engineering
Prakash Joshi,AE22599,Aerospace Engineering
Vani Mehta,M18356,Mathematics
Kavya Choudhury,M19867,Mathematics
Amit Sarin,ME19613,Mechanical Engineering
Ananya Banerjee,E23263,Electronics
Dhruv Chatterjee,CS21666,Computer Science
Yash Banerjee,EE21917,Electrical Engineering
Rashi Banerjee,M19485,Mathematics
Aryan Bhat,IT20228,Information Technology
Ishaan Banerjee,CE24506,Chemical Engineering
Ujjwal Bose,B20682,Biotechnology
Garima Goyal,IT22594,Information Technology
Radhika Wadhwa,M21481,Mathematics
Rajat Choudhury,M24338,Mathematics
Pankaj Goyal,B24978,Biotechnology
